,Trap,Latitude,Longitude,Date,Species,WnvPresent,NumMosquitos,Tmax,Tmin,rain,Spray
43,T002,41.95469,-87.800991,2007-08-15,CULEX RESTUANS,0,3,84.8125,69.5,3.1,
44,T002,41.95469,-87.800991,2007-08-21,CULEX PIPIENS,0,46,77.625,65.4375,6.495,
45,T002,41.95469,-87.800991,2007-08-21,CULEX PIPIENS/RESTUANS,1,23,77.625,65.4375,6.495,
46,T002,41.95469,-87.800991,2007-08-21,CULEX TERRITANS,0,1,77.625,65.4375,6.495,
47,T002,41.95469,-87.800991,2007-08-24,CULEX PIPIENS,0,35,79.75,66.125,10.575,
48,T002,41.95469,-87.800991,2007-08-24,CULEX PIPIENS/RESTUANS,1,27,79.75,66.125,10.575,
49,T002,41.95469,-87.800991,2007-09-04,CULEX PIPIENS,1,13,83.6875,62.75,0.01,
50,T002,41.95469,-87.800991,2007-09-04,CULEX PIPIENS/RESTUANS,1,10,83.6875,62.75,0.01,
51,T002,41.95469,-87.800991,2007-09-12,CULEX PIPIENS,1,6,78.25,61.625,1.745,
52,T002,41.95469,-87.800991,2007-09-12,CULEX PIPIENS/RESTUANS,0,2,78.25,61.625,1.745,
53,T002,41.95469,-87.800991,2007-09-18,CULEX PIPIENS,0,17,73.0,49.875,0.01,
54,T002,41.95469,-87.800991,2007-09-18,CULEX PIPIENS/RESTUANS,0,24,73.0,49.875,0.01,
55,T002,41.95469,-87.800991,2007-09-24,CULEX PIPIENS,0,41,83.1875,61.0625,0.0,
56,T002,41.95469,-87.800991,2007-09-24,CULEX PIPIENS/RESTUANS,0,33,83.1875,61.0625,0.0,
57,T002,41.95469,-87.800991,2007-10-04,CULEX PIPIENS,0,53,77.0,55.0625,0.955,
58,T002,41.95469,-87.800991,2007-10-04,CULEX PIPIENS/RESTUANS,0,29,77.0,55.0625,0.955,
59,T002,41.95469,-87.800991,2009-05-28,CULEX PIPIENS/RESTUANS,0,2,72.6875,55.375,3.26,
60,T002,41.95469,-87.800991,2009-06-02,CULEX PIPIENS/RESTUANS,0,29,72.3125,52.125,4.6,
61,T002,41.95469,-87.800991,2009-06-05,CULEX PIPIENS/RESTUANS,0,1,71.875,48.3125,1.465,
62,T002,41.95469,-87.800991,2009-06-05,CULEX RESTUANS,0,4,71.875,48.3125,1.465,
63,T002,41.95469,-87.800991,2009-06-12,CULEX PIPIENS,0,1,70.9375,52.3125,2.04,
64,T002,41.95469,-87.800991,2009-06-12,CULEX PIPIENS/RESTUANS,0,5,70.9375,52.3125,2.04,
65,T002,41.95469,-87.800991,2009-06-12,CULEX RESTUANS,0,2,70.9375,52.3125,2.04,
66,T002,41.95469,-87.800991,2009-06-19,CULEX PIPIENS/RESTUANS,0,22,76.0,57.875,8.02,
67,T002,41.95469,-87.800991,2009-06-19,CULEX RESTUANS,0,6,76.0,57.875,8.02,
68,T002,41.95469,-87.800991,2009-06-26,CULEX PIPIENS,0,1,89.3125,70.8125,5.83,
69,T002,41.95469,-87.800991,2009-06-26,CULEX PIPIENS/RESTUANS,0,112,89.3125,70.8125,5.83,
70,T002,41.95469,-87.800991,2009-06-26,CULEX RESTUANS,0,6,89.3125,70.8125,5.83,
71,T002,41.95469,-87.800991,2009-07-06,CULEX PIPIENS,0,1,74.6875,60.5625,0.425,
72,T002,41.95469,-87.800991,2009-07-06,CULEX PIPIENS/RESTUANS,0,3,74.6875,60.5625,0.425,
73,T002,41.95469,-87.800991,2009-07-06,CULEX RESTUANS,0,12,74.6875,60.5625,0.425,
74,T002,41.95469,-87.800991,2009-07-10,CULEX PIPIENS,0,4,77.5625,61.6875,0.835,
75,T002,41.95469,-87.800991,2009-07-10,CULEX PIPIENS/RESTUANS,0,129,77.5625,61.6875,0.835,
76,T002,41.95469,-87.800991,2009-07-10,CULEX RESTUANS,0,32,77.5625,61.6875,0.835,
77,T002,41.95469,-87.800991,2009-07-17,CULEX PIPIENS,0,3,80.6875,62.3125,2.75,
78,T002,41.95469,-87.800991,2009-07-17,CULEX PIPIENS/RESTUANS,0,96,80.6875,62.3125,2.75,
79,T002,41.95469,-87.800991,2009-07-17,CULEX RESTUANS,0,14,80.6875,62.3125,2.75,
80,T002,41.95469,-87.800991,2009-07-24,CULEX PIPIENS,0,4,76.6875,60.0,0.48,
81,T002,41.95469,-87.800991,2009-07-24,CULEX PIPIENS/RESTUANS,0,165,76.6875,60.0,0.48,
82,T002,41.95469,-87.800991,2009-07-24,CULEX PIPIENS/RESTUANS,1,50,76.6875,60.0,0.48,
83,T002,41.95469,-87.800991,2009-07-24,CULEX RESTUANS,0,18,76.6875,60.0,0.48,
84,T002,41.95469,-87.800991,2009-07-31,CULEX PIPIENS,0,3,82.0,63.625,0.42,
85,T002,41.95469,-87.800991,2009-07-31,CULEX PIPIENS/RESTUANS,0,14,82.0,63.625,0.42,
86,T002,41.95469,-87.800991,2009-07-31,CULEX RESTUANS,0,4,82.0,63.625,0.42,
87,T002,41.95469,-87.800991,2009-08-07,CULEX PIPIENS,0,1,80.0,63.125,0.705,
88,T002,41.95469,-87.800991,2009-08-07,CULEX PIPIENS/RESTUANS,0,12,80.0,63.125,0.705,
89,T002,41.95469,-87.800991,2009-08-25,CULEX PIPIENS/RESTUANS,0,14,77.625,60.0,1.36,
90,T002,41.95469,-87.800991,2009-08-25,CULEX RESTUANS,0,7,77.625,60.0,1.36,
91,T002,41.95469,-87.800991,2009-09-14,CULEX PIPIENS/RESTUANS,0,6,79.25,61.375,0.01,
92,T002,41.95469,-87.800991,2009-09-17,CULEX PIPIENS/RESTUANS,0,4,78.375,59.8125,0.01,
93,T002,41.95469,-87.800991,2009-09-17,CULEX RESTUANS,0,2,78.375,59.8125,0.01,
94,T002,41.95469,-87.800991,2009-09-25,CULEX PIPIENS,0,1,73.625,58.75,1.42,
95,T002,41.95469,-87.800991,2009-09-25,CULEX PIPIENS/RESTUANS,0,27,73.625,58.75,1.42,
96,T002,41.95469,-87.800991,2009-09-25,CULEX RESTUANS,0,1,73.625,58.75,1.42,
97,T002,41.95469,-87.800991,2011-06-17,CULEX PIPIENS/RESTUANS,0,14,72.5625,55.625,2.8,
98,T002,41.95469,-87.800991,2011-06-24,CULEX PIPIENS/RESTUANS,0,4,78.6875,63.75,2.04,
99,T002,41.95469,-87.800991,2011-06-24,CULEX RESTUANS,0,5,78.6875,63.75,2.04,
100,T002,41.95469,-87.800991,2011-06-30,CULEX PIPIENS/RESTUANS,0,2,78.625,62.0625,0.27,
101,T002,41.95469,-87.800991,2011-06-30,CULEX RESTUANS,0,33,78.625,62.0625,0.27,
102,T002,41.95469,-87.800991,2011-07-11,CULEX PIPIENS,0,4,88.0625,67.625,0.61,
103,T002,41.95469,-87.800991,2011-07-11,CULEX PIPIENS/RESTUANS,0,24,88.0625,67.625,0.61,
104,T002,41.95469,-87.800991,2011-07-11,CULEX RESTUANS,0,18,88.0625,67.625,0.61,
105,T002,41.95469,-87.800991,2011-07-15,CULEX PIPIENS/RESTUANS,0,37,85.8125,67.4375,0.555,
106,T002,41.95469,-87.800991,2011-07-15,CULEX RESTUANS,0,17,85.8125,67.4375,0.555,
107,T002,41.95469,-87.800991,2011-07-25,CULEX PIPIENS/RESTUANS,0,23,92.6875,74.75,8.855,
108,T002,41.95469,-87.800991,2011-07-25,CULEX RESTUANS,0,6,92.6875,74.75,8.855,
109,T002,41.95469,-87.800991,2011-07-29,CULEX PIPIENS,0,8,88.1875,71.625,11.29,
110,T002,41.95469,-87.800991,2011-07-29,CULEX PIPIENS/RESTUANS,0,29,88.1875,71.625,11.29,
111,T002,41.95469,-87.800991,2011-07-29,CULEX RESTUANS,0,7,88.1875,71.625,11.29,
112,T002,41.95469,-87.800991,2011-08-05,CULEX PIPIENS/RESTUANS,0,21,88.0625,71.3125,1.78,
113,T002,41.95469,-87.800991,2011-08-05,CULEX RESTUANS,0,3,88.0625,71.3125,1.78,
114,T002,41.95469,-87.800991,2011-08-12,CULEX PIPIENS/RESTUANS,0,14,82.0,65.875,3.05,
115,T002,41.95469,-87.800991,2011-08-19,CULEX PIPIENS/RESTUANS,0,1,82.375,63.3125,1.695,
116,T002,41.95469,-87.800991,2011-08-26,CULEX PIPIENS/RESTUANS,0,28,82.25,64.4375,2.565,
117,T002,41.95469,-87.800991,2011-08-26,CULEX RESTUANS,0,11,82.25,64.4375,2.565,
118,T002,41.95469,-87.800991,2011-09-01,CULEX PIPIENS,0,7,82.5625,63.875,0.115,33.4955455688
119,T002,41.95469,-87.800991,2011-09-01,CULEX PIPIENS/RESTUANS,0,15,82.5625,63.875,0.115,33.4955455688
120,T002,41.95469,-87.800991,2011-09-12,CULEX PIPIENS,0,1,74.3125,57.8125,0.21,0.949831651949
121,T002,41.95469,-87.800991,2011-09-12,CULEX PIPIENS/RESTUANS,0,4,74.3125,57.8125,0.21,0.949831651949
122,T002,41.95469,-87.800991,2011-09-12,CULEX RESTUANS,0,3,74.3125,57.8125,0.21,0.949831651949
123,T002,41.95469,-87.800991,2011-09-16,CULEX PIPIENS/RESTUANS,0,2,71.1875,54.5,0.225,
124,T002,41.95469,-87.800991,2011-09-23,CULEX PIPIENS/RESTUANS,1,13,66.5625,52.0,1.46,
125,T002,41.95469,-87.800991,2011-09-23,CULEX RESTUANS,0,5,66.5625,52.0,1.46,
126,T002,41.95469,-87.800991,2011-09-30,CULEX RESTUANS,0,1,62.5625,50.875,4.54,
127,T002,41.95469,-87.800991,2013-06-07,CULEX RESTUANS,0,19,70.4375,53.3125,1.78,
128,T002,41.95469,-87.800991,2013-06-14,CULEX PIPIENS/RESTUANS,0,51,77.3125,57.25,2.38,
129,T002,41.95469,-87.800991,2013-06-14,CULEX RESTUANS,0,263,77.3125,57.25,2.38,
130,T002,41.95469,-87.800991,2013-06-21,CULEX RESTUANS,0,19,80.625,60.625,1.33,
131,T002,41.95469,-87.800991,2013-06-27,CULEX PIPIENS/RESTUANS,0,10,85.4375,66.5,5.32,
132,T002,41.95469,-87.800991,2013-06-27,CULEX RESTUANS,0,9,85.4375,66.5,5.32,
133,T002,41.95469,-87.800991,2013-07-08,CULEX PIPIENS/RESTUANS,0,54,80.375,63.75,1.44,
134,T002,41.95469,-87.800991,2013-07-08,CULEX RESTUANS,0,192,80.375,63.75,1.44,
135,T002,41.95469,-87.800991,2013-07-12,CULEX PIPIENS/RESTUANS,0,244,84.75,66.5625,1.355,
136,T002,41.95469,-87.800991,2013-07-12,CULEX RESTUANS,0,338,84.75,66.5625,1.355,
137,T002,41.95469,-87.800991,2013-07-19,CULEX RESTUANS,0,34,90.375,71.4375,0.71,0.949831651949
138,T002,41.95469,-87.800991,2013-07-25,CULEX PIPIENS,0,4,86.25,68.3125,0.71,0.949831651949
139,T002,41.95469,-87.800991,2013-07-25,CULEX PIPIENS/RESTUANS,0,3,86.25,68.3125,0.71,0.949831651949
140,T002,41.95469,-87.800991,2013-07-25,CULEX RESTUANS,0,21,86.25,68.3125,0.71,0.949831651949
141,T002,41.95469,-87.800991,2013-08-01,CULEX PIPIENS,0,7,74.5,59.0,1.135,0.949831651949
142,T002,41.95469,-87.800991,2013-08-01,CULEX PIPIENS/RESTUANS,0,20,74.5,59.0,1.135,0.949831651949
143,T002,41.95469,-87.800991,2013-08-01,CULEX RESTUANS,0,7,74.5,59.0,1.135,0.949831651949
144,T002,41.95469,-87.800991,2013-08-08,CULEX PIPIENS,1,56,81.125,64.125,1.195,0.949831651949
145,T002,41.95469,-87.800991,2013-08-08,CULEX PIPIENS/RESTUANS,0,50,81.125,64.125,1.195,0.949831651949
146,T002,41.95469,-87.800991,2013-08-08,CULEX PIPIENS/RESTUANS,1,77,81.125,64.125,1.195,0.949831651949
147,T002,41.95469,-87.800991,2013-08-08,CULEX RESTUANS,0,13,81.125,64.125,1.195,0.949831651949
148,T002,41.95469,-87.800991,2013-08-15,CULEX PIPIENS,0,4,78.125,62.0,0.95,0.949831651949
149,T002,41.95469,-87.800991,2013-08-15,CULEX PIPIENS/RESTUANS,0,6,78.125,62.0,0.95,0.949831651949
150,T002,41.95469,-87.800991,2013-08-15,CULEX RESTUANS,0,1,78.125,62.0,0.95,0.949831651949
151,T002,41.95469,-87.800991,2013-08-22,CULEX PIPIENS,1,12,82.4375,61.875,0.65,0.949831651949
152,T002,41.95469,-87.800991,2013-08-22,CULEX PIPIENS/RESTUANS,1,34,82.4375,61.875,0.65,0.949831651949
153,T002,41.95469,-87.800991,2013-08-29,CULEX PIPIENS,1,35,86.6875,68.0625,0.59,0.949831651949
154,T002,41.95469,-87.800991,2013-08-29,CULEX PIPIENS/RESTUANS,0,22,86.6875,68.0625,0.59,0.949831651949
155,T002,41.95469,-87.800991,2013-08-29,CULEX RESTUANS,0,13,86.6875,68.0625,0.59,0.949831651949
156,T002,41.95469,-87.800991,2013-09-06,CULEX PIPIENS,0,37,82.0,63.0,2.025,0.949831651949
157,T002,41.95469,-87.800991,2013-09-06,CULEX PIPIENS/RESTUANS,0,53,82.0,63.0,2.025,0.949831651949
158,T002,41.95469,-87.800991,2013-09-12,CULEX PIPIENS,1,32,86.0,67.8125,0.09,0.949831651949
159,T002,41.95469,-87.800991,2013-09-12,CULEX PIPIENS/RESTUANS,0,12,86.0,67.8125,0.09,0.949831651949
160,T002,41.95469,-87.800991,2013-09-19,CULEX PIPIENS,0,23,72.9375,57.0,2.875,
161,T002,41.95469,-87.800991,2013-09-19,CULEX PIPIENS/RESTUANS,0,4,72.9375,57.0,2.875,
162,T002,41.95469,-87.800991,2013-09-26,CULEX PIPIENS,0,8,73.4375,54.125,0.87,
163,T002,41.95469,-87.800991,2013-09-26,CULEX PIPIENS/RESTUANS,0,5,73.4375,54.125,0.87,
164,T003,41.964242,-87.757639,2007-06-26,CULEX RESTUANS,0,2,80.1875,64.3125,2.09,
165,T003,41.964242,-87.757639,2007-07-02,CULEX RESTUANS,0,1,80.5625,61.625,0.665,
166,T003,41.964242,-87.757639,2007-07-11,CULEX PIPIENS/RESTUANS,0,2,87.5625,68.5625,1.87,
167,T003,41.964242,-87.757639,2007-07-18,CULEX PIPIENS,0,1,81.0625,63.5,3.15,
168,T003,41.964242,-87.757639,2007-07-18,CULEX PIPIENS/RESTUANS,0,1,81.0625,63.5,3.15,
169,T003,41.964242,-87.757639,2007-07-27,CULEX PIPIENS/RESTUANS,0,2,80.625,63.6875,1.3,
170,T003,41.964242,-87.757639,2007-07-27,CULEX RESTUANS,0,2,80.625,63.6875,1.3,
171,T003,41.964242,-87.757639,2007-08-01,CULEX PIPIENS,0,2,85.5625,67.4375,1.295,
172,T003,41.964242,-87.757639,2007-08-01,CULEX PIPIENS/RESTUANS,0,5,85.5625,67.4375,1.295,
173,T003,41.964242,-87.757639,2007-08-01,CULEX RESTUANS,0,2,85.5625,67.4375,1.295,
174,T003,41.964242,-87.757639,2007-08-07,CULEX PIPIENS,0,7,88.5625,70.0625,4.13,
175,T003,41.964242,-87.757639,2007-08-07,CULEX PIPIENS/RESTUANS,0,3,88.5625,70.0625,4.13,
176,T003,41.964242,-87.757639,2007-08-15,CULEX PIPIENS,0,6,84.8125,69.5,3.1,
177,T003,41.964242,-87.757639,2007-08-15,CULEX PIPIENS,1,49,84.8125,69.5,3.1,
178,T003,41.964242,-87.757639,2007-08-15,CULEX PIPIENS/RESTUANS,1,27,84.8125,69.5,3.1,
179,T003,41.964242,-87.757639,2007-08-15,CULEX RESTUANS,0,2,84.8125,69.5,3.1,
180,T003,41.964242,-87.757639,2007-08-21,CULEX PIPIENS,1,23,77.625,65.4375,6.495,
181,T003,41.964242,-87.757639,2007-08-21,CULEX PIPIENS/RESTUANS,0,6,77.625,65.4375,6.495,
182,T003,41.964242,-87.757639,2007-08-24,CULEX PIPIENS,1,19,79.75,66.125,10.575,
183,T003,41.964242,-87.757639,2007-08-24,CULEX PIPIENS/RESTUANS,0,12,79.75,66.125,10.575,
184,T003,41.964242,-87.757639,2007-08-24,CULEX RESTUANS,0,1,79.75,66.125,10.575,
185,T003,41.964242,-87.757639,2007-09-04,CULEX PIPIENS/RESTUANS,0,2,83.6875,62.75,0.01,
186,T003,41.964242,-87.757639,2007-09-12,CULEX PIPIENS/RESTUANS,0,2,78.25,61.625,1.745,
187,T003,41.964242,-87.757639,2007-09-18,CULEX PIPIENS/RESTUANS,0,4,73.0,49.875,0.01,
188,T003,41.964242,-87.757639,2007-09-24,CULEX PIPIENS,0,6,83.1875,61.0625,0.0,
189,T003,41.964242,-87.757639,2007-09-24,CULEX PIPIENS/RESTUANS,0,6,83.1875,61.0625,0.0,
190,T003,41.964242,-87.757639,2007-10-04,CULEX PIPIENS,0,9,77.0,55.0625,0.955,
191,T003,41.964242,-87.757639,2007-10-04,CULEX PIPIENS/RESTUANS,0,10,77.0,55.0625,0.955,
192,T003,41.964242,-87.757639,2009-05-28,CULEX PIPIENS/RESTUANS,0,1,72.6875,55.375,3.26,
193,T003,41.964242,-87.757639,2009-06-02,CULEX RESTUANS,0,4,72.3125,52.125,4.6,
194,T003,41.964242,-87.757639,2009-06-05,CULEX RESTUANS,0,1,71.875,48.3125,1.465,
195,T003,41.964242,-87.757639,2009-06-12,CULEX PIPIENS/RESTUANS,0,25,70.9375,52.3125,2.04,
196,T003,41.964242,-87.757639,2009-06-12,CULEX RESTUANS,0,16,70.9375,52.3125,2.04,
197,T003,41.964242,-87.757639,2009-06-19,CULEX PIPIENS/RESTUANS,0,9,76.0,57.875,8.02,
198,T003,41.964242,-87.757639,2009-06-26,CULEX PIPIENS/RESTUANS,0,8,89.3125,70.8125,5.83,
199,T003,41.964242,-87.757639,2009-06-26,CULEX RESTUANS,0,10,89.3125,70.8125,5.83,
200,T003,41.964242,-87.757639,2009-07-06,CULEX RESTUANS,0,13,74.6875,60.5625,0.425,
201,T003,41.964242,-87.757639,2009-07-10,CULEX PIPIENS/RESTUANS,0,11,77.5625,61.6875,0.835,
202,T003,41.964242,-87.757639,2009-07-10,CULEX RESTUANS,0,3,77.5625,61.6875,0.835,
203,T003,41.964242,-87.757639,2009-07-10,CULEX SALINARIUS,0,2,77.5625,61.6875,0.835,
204,T003,41.964242,-87.757639,2009-07-17,CULEX PIPIENS/RESTUANS,0,1,80.6875,62.3125,2.75,
205,T003,41.964242,-87.757639,2009-07-17,CULEX RESTUANS,0,2,80.6875,62.3125,2.75,
206,T003,41.964242,-87.757639,2009-07-24,CULEX PIPIENS/RESTUANS,0,8,76.6875,60.0,0.48,
207,T003,41.964242,-87.757639,2009-07-24,CULEX RESTUANS,0,3,76.6875,60.0,0.48,
208,T003,41.964242,-87.757639,2009-08-07,CULEX PIPIENS,0,1,80.0,63.125,0.705,
209,T003,41.964242,-87.757639,2009-08-07,CULEX PIPIENS/RESTUANS,0,5,80.0,63.125,0.705,
210,T003,41.964242,-87.757639,2009-08-13,CULEX PIPIENS/RESTUANS,0,9,83.9375,66.125,0.86,
211,T003,41.964242,-87.757639,2009-08-13,CULEX RESTUANS,0,2,83.9375,66.125,0.86,
212,T003,41.964242,-87.757639,2009-09-14,CULEX PIPIENS/RESTUANS,0,2,79.25,61.375,0.01,
213,T003,41.964242,-87.757639,2009-09-17,CULEX PIPIENS,0,1,78.375,59.8125,0.01,
214,T003,41.964242,-87.757639,2009-09-17,CULEX PIPIENS/RESTUANS,0,1,78.375,59.8125,0.01,
215,T003,41.964242,-87.757639,2009-09-17,CULEX TERRITANS,0,1,78.375,59.8125,0.01,
216,T003,41.964242,-87.757639,2009-09-25,CULEX PIPIENS,0,3,73.625,58.75,1.42,
217,T003,41.964242,-87.757639,2009-09-25,CULEX PIPIENS/RESTUANS,0,6,73.625,58.75,1.42,
218,T003,41.964242,-87.757639,2009-10-01,CULEX RESTUANS,0,5,65.6875,52.375,2.245,
219,T003,41.964242,-87.757639,2011-06-10,CULEX PIPIENS/RESTUANS,0,3,85.9375,61.0625,5.805,
220,T003,41.964242,-87.757639,2011-06-17,CULEX PIPIENS/RESTUANS,0,3,72.5625,55.625,2.8,
221,T003,41.964242,-87.757639,2011-06-24,CULEX PIPIENS/RESTUANS,0,4,78.6875,63.75,2.04,
222,T003,41.964242,-87.757639,2011-06-24,CULEX RESTUANS,0,7,78.6875,63.75,2.04,
223,T003,41.964242,-87.757639,2011-06-30,CULEX PIPIENS/RESTUANS,0,1,78.625,62.0625,0.27,
224,T003,41.964242,-87.757639,2011-06-30,CULEX RESTUANS,0,1,78.625,62.0625,0.27,
225,T003,41.964242,-87.757639,2011-07-11,CULEX PIPIENS,0,2,88.0625,67.625,0.61,
226,T003,41.964242,-87.757639,2011-07-11,CULEX PIPIENS/RESTUANS,0,1,88.0625,67.625,0.61,
227,T003,41.964242,-87.757639,2011-07-11,CULEX RESTUANS,0,10,88.0625,67.625,0.61,
228,T003,41.964242,-87.757639,2011-07-15,CULEX PIPIENS,0,1,85.8125,67.4375,0.555,
229,T003,41.964242,-87.757639,2011-07-15,CULEX PIPIENS/RESTUANS,0,91,85.8125,67.4375,0.555,
230,T003,41.964242,-87.757639,2011-07-15,CULEX RESTUANS,0,12,85.8125,67.4375,0.555,
231,T003,41.964242,-87.757639,2011-07-25,CULEX PIPIENS,0,2,92.6875,74.75,8.855,
232,T003,41.964242,-87.757639,2011-07-25,CULEX PIPIENS/RESTUANS,0,62,92.6875,74.75,8.855,
233,T003,41.964242,-87.757639,2011-07-25,CULEX RESTUANS,0,10,92.6875,74.75,8.855,
234,T003,41.964242,-87.757639,2011-07-29,CULEX PIPIENS,0,20,88.1875,71.625,11.29,
235,T003,41.964242,-87.757639,2011-07-29,CULEX PIPIENS/RESTUANS,0,103,88.1875,71.625,11.29,
236,T003,41.964242,-87.757639,2011-07-29,CULEX RESTUANS,0,25,88.1875,71.625,11.29,
237,T003,41.964242,-87.757639,2011-08-05,CULEX PIPIENS/RESTUANS,0,54,88.0625,71.3125,1.78,
238,T003,41.964242,-87.757639,2011-08-12,CULEX PIPIENS,0,2,82.0,65.875,3.05,
239,T003,41.964242,-87.757639,2011-08-12,CULEX PIPIENS/RESTUANS,0,5,82.0,65.875,3.05,
240,T003,41.964242,-87.757639,2011-08-19,CULEX PIPIENS/RESTUANS,0,17,82.375,63.3125,1.695,
241,T003,41.964242,-87.757639,2011-08-19,CULEX RESTUANS,0,2,82.375,63.3125,1.695,
242,T003,41.964242,-87.757639,2011-08-26,CULEX PIPIENS/RESTUANS,0,14,82.25,64.4375,2.565,
243,T003,41.964242,-87.757639,2011-09-01,CULEX PIPIENS,0,7,82.5625,63.875,0.115,33.9604637618
244,T003,41.964242,-87.757639,2011-09-01,CULEX PIPIENS/RESTUANS,1,36,82.5625,63.875,0.115,33.9604637618
245,T003,41.964242,-87.757639,2011-09-01,CULEX RESTUANS,0,3,82.5625,63.875,0.115,33.9604637618
246,T003,41.964242,-87.757639,2011-09-12,CULEX PIPIENS,0,1,74.3125,57.8125,0.21,1.60183386689
