,Trap,Latitude,Longitude,Date,WnvPresent,NumMosquitos,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,year,month,day,Tmax,Tmin,rain,Tmax_3,Tmax_20,Dew,Tmin_3,Tmin_20,Tavg,WetBulb,CodeSum,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
23,T002,41.95469,-87.800991,2007-07-02,0,3,0,0,1,0,0,0,0,2007,7,2,81.125,60.125,0.31,75.75,82.5238095238,57.5454545455,54.25,62.2857142857,70.75,63.125,1387500.0,29.41125,30.125,7.05,10.75,8.25
24,T002,41.95469,-87.800991,2007-07-02,0,2,0,0,0,1,0,0,0,2007,7,2,81.125,60.125,0.31,75.75,82.5238095238,57.5454545455,54.25,62.2857142857,70.75,63.125,1387500.0,29.41125,30.125,7.05,10.75,8.25
25,T002,41.95469,-87.800991,2007-07-11,0,2,0,1,0,0,0,0,0,2007,7,11,88.125,68.0,0.89,88.5,82.5714285714,59.5454545455,69.0,63.4285714286,78.25,67.5,1375013.75,29.17125,29.88125,7.225,23.25,9.2125
26,T002,41.95469,-87.800991,2007-07-11,0,18,0,0,1,0,0,0,0,2007,7,11,88.125,68.0,0.89,88.5,82.5714285714,59.5454545455,69.0,63.4285714286,78.25,67.5,1375013.75,29.17125,29.88125,7.225,23.25,9.2125
27,T002,41.95469,-87.800991,2007-07-11,0,7,0,0,0,1,0,0,0,2007,7,11,88.125,68.0,0.89,88.5,82.5714285714,59.5454545455,69.0,63.4285714286,78.25,67.5,1375013.75,29.17125,29.88125,7.225,23.25,9.2125
28,T002,41.95469,-87.800991,2007-07-18,0,4,0,1,0,0,0,0,0,2007,7,18,81.375,63.0,2.05,83.0,82.8095238095,59.6363636364,65.5,62.9047619048,72.5,63.0,13.875,29.19,29.9025,6.0875,23.25,8.4
29,T002,41.95469,-87.800991,2007-07-18,0,7,0,0,1,0,0,0,0,2007,7,18,81.375,63.0,2.05,83.0,82.8095238095,59.6363636364,65.5,62.9047619048,72.5,63.0,13.875,29.19,29.9025,6.0875,23.25,8.4
30,T002,41.95469,-87.800991,2007-07-18,0,2,0,0,0,1,0,0,0,2007,7,18,81.375,63.0,2.05,83.0,82.8095238095,59.6363636364,65.5,62.9047619048,72.5,63.0,13.875,29.19,29.9025,6.0875,23.25,8.4
31,T002,41.95469,-87.800991,2007-07-27,0,1,0,1,0,0,0,0,0,2007,7,27,80.75,63.25,0.365,83.25,83.1904761905,60.3636363636,68.0,64.3333333333,72.375,63.75,1.375,29.34,30.05625,4.8875,12.625,6.6125
32,T002,41.95469,-87.800991,2007-07-27,0,23,0,0,1,0,0,0,0,2007,7,27,80.75,63.25,0.365,83.25,83.1904761905,60.3636363636,68.0,64.3333333333,72.375,63.75,1.375,29.34,30.05625,4.8875,12.625,6.6125
33,T002,41.95469,-87.800991,2007-07-27,0,11,0,0,0,1,0,0,0,2007,7,27,80.75,63.25,0.365,83.25,83.1904761905,60.3636363636,68.0,64.3333333333,72.375,63.75,1.375,29.34,30.05625,4.8875,12.625,6.6125
34,T002,41.95469,-87.800991,2007-08-01,0,67,0,1,0,0,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
35,T002,41.95469,-87.800991,2007-08-01,0,33,0,0,1,0,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
36,T002,41.95469,-87.800991,2007-08-01,1,71,0,0,1,0,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
37,T002,41.95469,-87.800991,2007-08-01,0,8,0,0,0,1,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
38,T002,41.95469,-87.800991,2007-08-07,0,11,0,1,0,0,0,0,0,2007,8,7,89.0,69.125,3.03,87.0,84.7619047619,63.2727272727,69.25,65.8095238095,79.5,70.125,137638.875,29.22125,29.9325,4.2375,13.25,6.275
39,T002,41.95469,-87.800991,2007-08-07,0,13,0,0,1,0,0,0,0,2007,8,7,89.0,69.125,3.03,87.0,84.7619047619,63.2727272727,69.25,65.8095238095,79.5,70.125,137638.875,29.22125,29.9325,4.2375,13.25,6.275
40,T002,41.95469,-87.800991,2007-08-07,0,2,0,0,0,1,0,0,0,2007,8,7,89.0,69.125,3.03,87.0,84.7619047619,63.2727272727,69.25,65.8095238095,79.5,70.125,137638.875,29.22125,29.9325,4.2375,13.25,6.275
41,T002,41.95469,-87.800991,2007-08-15,0,32,0,1,0,0,0,0,0,2007,8,15,84.875,68.75,1.04,83.25,86.2380952381,68.0909090909,67.0,68.0952380952,77.0,70.375,1388888.875,29.245,29.955,3.8,12.125,6.1
42,T002,41.95469,-87.800991,2007-08-15,1,41,0,0,1,0,0,0,0,2007,8,15,84.875,68.75,1.04,83.25,86.2380952381,68.0909090909,67.0,68.0952380952,77.0,70.375,1388888.875,29.245,29.955,3.8,12.125,6.1
43,T002,41.95469,-87.800991,2007-08-15,0,3,0,0,0,1,0,0,0,2007,8,15,84.875,68.75,1.04,83.25,86.2380952381,68.0909090909,67.0,68.0952380952,77.0,70.375,1388888.875,29.245,29.955,3.8,12.125,6.1
44,T002,41.95469,-87.800991,2007-08-21,0,46,0,1,0,0,0,0,0,2007,8,21,77.625,64.875,2.975,75.25,83.6666666667,63.1818181818,64.5,67.5238095238,71.5,66.375,1387638.875,29.26625,29.9775,4.4375,14.625,6.6875
45,T002,41.95469,-87.800991,2007-08-21,1,23,0,0,1,0,0,0,0,2007,8,21,77.625,64.875,2.975,75.25,83.6666666667,63.1818181818,64.5,67.5238095238,71.5,66.375,1387638.875,29.26625,29.9775,4.4375,14.625,6.6875
46,T002,41.95469,-87.800991,2007-08-21,0,1,0,0,0,0,0,0,1,2007,8,21,77.625,64.875,2.975,75.25,83.6666666667,63.1818181818,64.5,67.5238095238,71.5,66.375,1387638.875,29.26625,29.9775,4.4375,14.625,6.6875
47,T002,41.95469,-87.800991,2007-08-24,0,35,0,1,0,0,0,0,0,2007,8,24,79.625,65.625,5.295,86.0,82.9047619048,64.8181818182,69.0,67.4761904762,72.875,67.125,138888.875,29.2425,29.9575,5.4125,18.875,7.7875
48,T002,41.95469,-87.800991,2007-08-24,1,27,0,0,1,0,0,0,0,2007,8,24,79.625,65.625,5.295,86.0,82.9047619048,64.8181818182,69.0,67.4761904762,72.875,67.125,138888.875,29.2425,29.9575,5.4125,18.875,7.7875
49,T002,41.95469,-87.800991,2007-09-04,1,13,0,1,0,0,0,0,0,2007,9,4,83.875,62.0,0.005,85.75,81.0476190476,58.9090909091,61.75,63.8571428571,73.0,64.375,0.0,29.3875,30.1075,5.1,13.75,6.6125
50,T002,41.95469,-87.800991,2007-09-04,1,10,0,0,1,0,0,0,0,2007,9,4,83.875,62.0,0.005,85.75,81.0476190476,58.9090909091,61.75,63.8571428571,73.0,64.375,0.0,29.3875,30.1075,5.1,13.75,6.6125
51,T002,41.95469,-87.800991,2007-09-12,1,6,0,1,0,0,0,0,0,2007,9,12,78.25,60.75,0.74,73.0,81.0,57.8181818182,53.25,62.0952380952,69.75,62.0,1387512.5,29.27,29.98375,8.075,13.0,9.7125
52,T002,41.95469,-87.800991,2007-09-12,0,2,0,0,1,0,0,0,0,2007,9,12,78.25,60.75,0.74,73.0,81.0,57.8181818182,53.25,62.0952380952,69.75,62.0,1387512.5,29.27,29.98375,8.075,13.0,9.7125
53,T002,41.95469,-87.800991,2007-09-18,0,17,0,1,0,0,0,0,0,2007,9,18,72.75,48.625,0.005,75.0,78.5714285714,47.6363636364,49.5,57.5238095238,61.0,52.125,0.0,29.3675,30.09125,8.3375,21.25,9.9375
54,T002,41.95469,-87.800991,2007-09-18,0,24,0,0,1,0,0,0,0,2007,9,18,72.75,48.625,0.005,75.0,78.5714285714,47.6363636364,49.5,57.5238095238,61.0,52.125,0.0,29.3675,30.09125,8.3375,21.25,9.9375
55,T002,41.95469,-87.800991,2007-09-24,0,41,0,1,0,0,0,0,0,2007,9,24,83.25,59.125,0.0,84.0,78.9047619048,50.1818181818,58.25,57.1428571429,71.375,61.875,125.0,29.35375,30.0725,7.975,15.625,9.7375
56,T002,41.95469,-87.800991,2007-09-24,0,33,0,0,1,0,0,0,0,2007,9,24,83.25,59.125,0.0,84.0,78.9047619048,50.1818181818,58.25,57.1428571429,71.375,61.875,125.0,29.35375,30.0725,7.975,15.625,9.7375
57,T002,41.95469,-87.800991,2007-10-04,0,53,0,1,0,0,0,0,0,2007,10,4,76.75,54.125,0.525,75.75,77.7142857143,53.6363636364,55.5,54.7619047619,65.625,57.875,1251387.625,29.33375,30.05125,7.225,18.5,8.6125
58,T002,41.95469,-87.800991,2007-10-04,0,29,0,0,1,0,0,0,0,2007,10,4,76.75,54.125,0.525,75.75,77.7142857143,53.6363636364,55.5,54.7619047619,65.625,57.875,1251387.625,29.33375,30.05125,7.225,18.5,8.6125
59,T002,41.95469,-87.800991,2009-05-28,0,2,0,0,1,0,0,0,0,2009,5,28,72.5,54.25,1.79,69.0,70.1428571429,46.8181818182,54.0,49.8095238095,63.5,55.25,138.75,29.235,29.96,7.6625,12.875,9.2625
60,T002,41.95469,-87.800991,2009-06-02,0,29,0,0,1,0,0,0,0,2009,6,2,71.625,50.75,2.32,72.5,71.3333333333,48.5454545455,48.5,51.0952380952,61.375,54.375,1375126.375,29.13875,29.85875,4.35,20.625,7.5625
61,T002,41.95469,-87.800991,2009-06-05,0,1,0,0,1,0,0,0,0,2009,6,5,71.5,46.625,0.57,67.0,71.7619047619,46.8181818182,44.25,49.7142857143,59.25,51.75,126375.0,29.24125,29.965,4.7375,17.5,7.5875
62,T002,41.95469,-87.800991,2009-06-05,0,4,0,0,0,1,0,0,0,2009,6,5,71.5,46.625,0.57,67.0,71.7619047619,46.8181818182,44.25,49.7142857143,59.25,51.75,126375.0,29.24125,29.965,4.7375,17.5,7.5875
63,T002,41.95469,-87.800991,2009-06-12,0,1,0,1,0,0,0,0,0,2009,6,12,70.875,51.25,0.54,68.0,70.8095238095,47.8181818182,52.75,50.4761904762,61.375,55.25,13888.875,29.16375,29.88625,5.9,10.5,7.7
64,T002,41.95469,-87.800991,2009-06-12,0,5,0,0,1,0,0,0,0,2009,6,12,70.875,51.25,0.54,68.0,70.8095238095,47.8181818182,52.75,50.4761904762,61.375,55.25,13888.875,29.16375,29.88625,5.9,10.5,7.7
65,T002,41.95469,-87.800991,2009-06-12,0,2,0,0,0,1,0,0,0,2009,6,12,70.875,51.25,0.54,68.0,70.8095238095,47.8181818182,52.75,50.4761904762,61.375,55.25,13888.875,29.16375,29.88625,5.9,10.5,7.7
66,T002,41.95469,-87.800991,2009-06-19,0,22,0,0,1,0,0,0,0,2009,6,19,76.0,56.625,5.655,77.0,72.380952381,54.0,61.5,52.0476190476,66.5,60.375,1375138.875,29.18125,26.18,6.05,13.125,7.6375
67,T002,41.95469,-87.800991,2009-06-19,0,6,0,0,0,1,0,0,0,2009,6,19,76.0,56.625,5.655,77.0,72.380952381,54.0,61.5,52.0476190476,66.5,60.375,1375138.875,29.18125,26.18,6.05,13.125,7.6375
68,T002,41.95469,-87.800991,2009-06-26,0,1,0,1,0,0,0,0,0,2009,6,26,89.25,70.125,4.115,92.0,78.5714285714,64.0909090909,72.5,60.2857142857,80.125,62.125,1251262.5,25.4575,29.8075,4.35,17.125,6.5125
69,T002,41.95469,-87.800991,2009-06-26,0,112,0,0,1,0,0,0,0,2009,6,26,89.25,70.125,4.115,92.0,78.5714285714,64.0909090909,72.5,60.2857142857,80.125,62.125,1251262.5,25.4575,29.8075,4.35,17.125,6.5125
70,T002,41.95469,-87.800991,2009-06-26,0,6,0,0,0,1,0,0,0,2009,6,26,89.25,70.125,4.115,92.0,78.5714285714,64.0909090909,72.5,60.2857142857,80.125,62.125,1251262.5,25.4575,29.8075,4.35,17.125,6.5125
71,T002,41.95469,-87.800991,2009-07-06,0,1,0,1,0,0,0,0,0,2009,7,6,74.5,59.625,0.255,78.75,81.1428571429,55.7272727273,59.75,64.1428571429,67.125,60.25,12513.75,29.14125,29.85,6.1125,29.375,7.3875
72,T002,41.95469,-87.800991,2009-07-06,0,3,0,0,1,0,0,0,0,2009,7,6,74.5,59.625,0.255,78.75,81.1428571429,55.7272727273,59.75,64.1428571429,67.125,60.25,12513.75,29.14125,29.85,6.1125,29.375,7.3875
73,T002,41.95469,-87.800991,2009-07-06,0,12,0,0,0,1,0,0,0,2009,7,6,74.5,59.625,0.255,78.75,81.1428571429,55.7272727273,59.75,64.1428571429,67.125,60.25,12513.75,29.14125,29.85,6.1125,29.375,7.3875
74,T002,41.95469,-87.800991,2009-07-10,0,4,0,1,0,0,0,0,0,2009,7,10,77.25,60.125,0.395,75.75,80.9047619048,56.0,60.5,63.9523809524,68.75,62.125,137637.625,29.26375,29.98,4.2625,19.625,5.7
75,T002,41.95469,-87.800991,2009-07-10,0,129,0,0,1,0,0,0,0,2009,7,10,77.25,60.125,0.395,75.75,80.9047619048,56.0,60.5,63.9523809524,68.75,62.125,137637.625,29.26375,29.98,4.2625,19.625,5.7
76,T002,41.95469,-87.800991,2009-07-10,0,32,0,0,0,1,0,0,0,2009,7,10,77.25,60.125,0.395,75.75,80.9047619048,56.0,60.5,63.9523809524,68.75,62.125,137637.625,29.26375,29.98,4.2625,19.625,5.7
77,T002,41.95469,-87.800991,2009-07-17,0,3,0,1,0,0,0,0,0,2009,7,17,80.375,60.75,1.015,78.75,77.7142857143,55.1818181818,60.25,60.4761904762,70.75,61.625,1375012.5,29.27875,29.99625,6.7625,23.25,8.1125
78,T002,41.95469,-87.800991,2009-07-17,0,96,0,0,1,0,0,0,0,2009,7,17,80.375,60.75,1.015,78.75,77.7142857143,55.1818181818,60.25,60.4761904762,70.75,61.625,1375012.5,29.27875,29.99625,6.7625,23.25,8.1125
79,T002,41.95469,-87.800991,2009-07-17,0,14,0,0,0,1,0,0,0,2009,7,17,80.375,60.75,1.015,78.75,77.7142857143,55.1818181818,60.25,60.4761904762,70.75,61.625,1375012.5,29.27875,29.99625,6.7625,23.25,8.1125
80,T002,41.95469,-87.800991,2009-07-24,0,4,0,1,0,0,0,0,0,2009,7,24,76.5,58.75,0.185,80.75,78.1904761905,55.8181818182,61.0,59.7142857143,67.875,60.5,138.875,29.25125,29.975,5.4,22.125,6.7625
81,T002,41.95469,-87.800991,2009-07-24,0,165,0,0,1,0,0,0,0,2009,7,24,76.5,58.75,0.185,80.75,78.1904761905,55.8181818182,61.0,59.7142857143,67.875,60.5,138.875,29.25125,29.975,5.4,22.125,6.7625
82,T002,41.95469,-87.800991,2009-07-24,1,50,0,0,1,0,0,0,0,2009,7,24,76.5,58.75,0.185,80.75,78.1904761905,55.8181818182,61.0,59.7142857143,67.875,60.5,138.875,29.25125,29.975,5.4,22.125,6.7625
83,T002,41.95469,-87.800991,2009-07-24,0,18,0,0,0,1,0,0,0,2009,7,24,76.5,58.75,0.185,80.75,78.1904761905,55.8181818182,61.0,59.7142857143,67.875,60.5,138.875,29.25125,29.975,5.4,22.125,6.7625
84,T002,41.95469,-87.800991,2009-07-31,0,3,0,1,0,0,0,0,0,2009,7,31,81.875,62.375,0.18,81.25,79.7619047619,57.6363636364,61.25,60.6666666667,72.375,63.25,1263875.0,29.11875,29.83125,7.25,26.875,8.4375
85,T002,41.95469,-87.800991,2009-07-31,0,14,0,0,1,0,0,0,0,2009,7,31,81.875,62.375,0.18,81.25,79.7619047619,57.6363636364,61.25,60.6666666667,72.375,63.25,1263875.0,29.11875,29.83125,7.25,26.875,8.4375
86,T002,41.95469,-87.800991,2009-07-31,0,4,0,0,0,1,0,0,0,2009,7,31,81.875,62.375,0.18,81.25,79.7619047619,57.6363636364,61.25,60.6666666667,72.375,63.25,1263875.0,29.11875,29.83125,7.25,26.875,8.4375
87,T002,41.95469,-87.800991,2009-08-07,0,1,0,1,0,0,0,0,0,2009,8,7,79.75,61.875,0.405,80.0,79.5714285714,56.0909090909,63.0,61.3333333333,71.0,62.375,125125.125,29.24625,29.9625,6.3625,15.375,7.9875
88,T002,41.95469,-87.800991,2009-08-07,0,12,0,0,1,0,0,0,0,2009,8,7,79.75,61.875,0.405,80.0,79.5714285714,56.0909090909,63.0,61.3333333333,71.0,62.375,125125.125,29.24625,29.9625,6.3625,15.375,7.9875
89,T002,41.95469,-87.800991,2009-08-25,0,14,0,0,1,0,0,0,0,2009,8,25,77.625,59.125,0.58,76.0,81.9047619048,59.6363636364,56.5,63.0952380952,68.5,62.0,138750.0,29.22375,29.9375,7.05,17.25,8.7625
90,T002,41.95469,-87.800991,2009-08-25,0,7,0,0,0,1,0,0,0,2009,8,25,77.625,59.125,0.58,76.0,81.9047619048,59.6363636364,56.5,63.0952380952,68.5,62.0,138750.0,29.22375,29.9375,7.05,17.25,8.7625
91,T002,41.95469,-87.800991,2009-09-14,0,6,0,0,1,0,0,0,0,2009,9,14,79.625,60.375,0.0,80.75,75.2857142857,58.3636363636,58.75,57.2857142857,70.25,62.75,1263888.75,29.40375,26.36375,4.3625,8.5,5.0625
92,T002,41.95469,-87.800991,2009-09-17,0,4,0,0,1,0,0,0,0,2009,9,17,78.625,59.0,0.0,77.25,75.380952381,57.9090909091,57.75,56.8571428571,69.0,61.25,1388750.0,29.42,30.14375,4.625,8.5,5.7125
93,T002,41.95469,-87.800991,2009-09-17,0,2,0,0,0,1,0,0,0,2009,9,17,78.625,59.0,0.0,77.25,75.380952381,57.9090909091,57.75,56.8571428571,69.0,61.25,1388750.0,29.42,30.14375,4.625,8.5,5.7125
94,T002,41.95469,-87.800991,2009-09-25,0,1,0,1,0,0,0,0,0,2009,9,25,73.875,58.0,0.915,74.0,76.5714285714,57.9090909091,61.25,58.8095238095,66.25,61.875,1263888.875,29.37625,30.09875,4.2125,13.5,6.0625
95,T002,41.95469,-87.800991,2009-09-25,0,27,0,0,1,0,0,0,0,2009,9,25,73.875,58.0,0.915,74.0,76.5714285714,57.9090909091,61.25,58.8095238095,66.25,61.875,1263888.875,29.37625,30.09875,4.2125,13.5,6.0625
96,T002,41.95469,-87.800991,2009-09-25,0,1,0,0,0,1,0,0,0,2009,9,25,73.875,58.0,0.915,74.0,76.5714285714,57.9090909091,61.25,58.8095238095,66.25,61.875,1263888.875,29.37625,30.09875,4.2125,13.5,6.0625
97,T002,41.95469,-87.800991,2011-06-17,0,14,0,0,1,0,0,0,0,2011,6,17,72.25,54.75,1.39,77.75,78.5714285714,55.0909090909,57.75,57.6666666667,63.5,57.625,1387513.75,29.20625,29.92875,6.9,9.5,8.0375
98,T002,41.95469,-87.800991,2011-06-24,0,4,0,0,1,0,0,0,0,2011,6,24,78.375,62.625,0.66,75.25,78.7142857143,60.8181818182,63.0,59.7142857143,70.75,65.5,1388.75,29.0075,29.71375,8.2,16.625,9.2625
99,T002,41.95469,-87.800991,2011-06-24,0,5,0,0,0,1,0,0,0,2011,6,24,78.375,62.625,0.66,75.25,78.7142857143,60.8181818182,63.0,59.7142857143,70.75,65.5,1388.75,29.0075,29.71375,8.2,16.625,9.2625
100,T002,41.95469,-87.800991,2011-06-30,0,2,0,0,1,0,0,0,0,2011,6,30,78.75,60.5,0.045,82.75,76.8571428571,59.6363636364,61.75,59.0952380952,69.75,62.25,1250125.0,29.17625,29.8825,7.125,18.75,8.625
101,T002,41.95469,-87.800991,2011-06-30,0,33,0,0,0,1,0,0,0,2011,6,30,78.75,60.5,0.045,82.75,76.8571428571,59.6363636364,61.75,59.0952380952,69.75,62.25,1250125.0,29.17625,29.8825,7.125,18.75,8.625
102,T002,41.95469,-87.800991,2011-07-11,0,4,0,1,0,0,0,0,0,2011,7,11,88.0,66.625,0.405,89.0,83.9523809524,60.5454545455,66.75,64.7142857143,77.625,66.875,1251.375,29.21,29.92,5.5,14.125,6.7875
103,T002,41.95469,-87.800991,2011-07-11,0,24,0,0,1,0,0,0,0,2011,7,11,88.0,66.625,0.405,89.0,83.9523809524,60.5454545455,66.75,64.7142857143,77.625,66.875,1251.375,29.21,29.92,5.5,14.125,6.7875
104,T002,41.95469,-87.800991,2011-07-11,0,18,0,0,0,1,0,0,0,2011,7,11,88.0,66.625,0.405,89.0,83.9523809524,60.5454545455,66.75,64.7142857143,77.625,66.875,1251.375,29.21,29.92,5.5,14.125,6.7875
105,T002,41.95469,-87.800991,2011-07-15,0,37,0,0,1,0,0,0,0,2011,7,15,85.75,66.125,0.41,82.5,85.3333333333,59.8181818182,65.5,65.1904761905,76.375,66.75,13875.0,29.23125,29.93875,6.6375,11.75,7.925
106,T002,41.95469,-87.800991,2011-07-15,0,17,0,0,0,1,0,0,0,2011,7,15,85.75,66.125,0.41,82.5,85.3333333333,59.8181818182,65.5,65.1904761905,76.375,66.75,13875.0,29.23125,29.93875,6.6375,11.75,7.925
107,T002,41.95469,-87.800991,2011-07-25,0,23,0,0,1,0,0,0,0,2011,7,25,91.625,73.875,8.64,87.5,88.6666666667,68.7272727273,71.25,69.5714285714,83.0,74.625,1263888.75,29.18125,29.895,4.7125,22.125,7.9625
